# Number; Time(s)
0 ;   0.0000000000000000     
1000 ;   0.0000000000000000     
2000 ;   0.0000000000000000     
3000 ;   0.0000000000000000     
4000 ;   1.5625000000000000E-002
5000 ;   1.5625000000000000E-002
6000 ;   3.1250000000000000E-002
7000 ;   4.6875000000000000E-002
8000 ;   6.2500000000000000E-002
9000 ;   9.3750000000000000E-002
