# Number; Time(s)
0 ;   0.0000000000000000     
1000 ;   1.5625000000000000E-002
2000 ;   6.2500000000000000E-002
3000 ;  0.14062500000000000     
4000 ;  0.23437500000000000     
5000 ;  0.43750000000000000     
6000 ;  0.60937500000000000     
7000 ;  0.85937500000000000     
8000 ;   1.1406250000000000     
9000 ;   1.3593750000000000     
